STID,MDStatus,SCHID,CLASSROOM,TREAT,AGE,SEX,FRL,ELL,RACE,SPED,prOOOPos,poOOOPos,prCR,poCR,prLR,poLR,prBF,poBF,pdROBOC,prVSP,poVSP,pdVSPt1
12846,1,14,139,4,7.47707049965777,1,0,1,4,0,9,13,15,19,5,8,15,39,6,2,21,13
12847,1,14,139,2,7.7700205338809,1,1,1,4,1,0,15,15,13,5,4,32,55,7,2,5,0
12853,1,14,139,1,7.56741957563313,1,1,1,4,0,0,13,6,13,0,7,12,34,7,3,1,1
12860,1,14,139,4,7.00616016427105,2,1,1,4,0,1,3,8,13,4,7,6,35,6,4,22,4
12864,1,14,140,1,7.72621492128679,2,1,1,4,0,7,17,15,17,5,10,21,31,4,1,4,2
12867,1,14,140,1,7.22518822724162,1,0,0,1,0,0,8,6,6,6,8,11,31,2,3,3,4
12869,1,14,140,3,7.72621492128679,2,1,1,4,0,10,17,15,14,0,12,16,43,8,4,11,5
12875,1,14,140,3,7.86036960985626,1,1,1,4,0,6,15,18,24,7,15,30,52,7,1,25,12
23003,1,1,230,4,7.2498288843258,2,0,0,4,0,21,24,17,14,3,9,25,48,8,3,6,4
23009,1,1,230,3,7.89322381930185,1,0,0,1,0,6,0,15,15,5,14,17,33,4,4,3,9
23012,1,1,230,1,7.14579055441478,1,1,0,1,0,6,6,13,6,0,0,4,9,2,1,0,0
23013,1,1,230,1,7.51266255989049,2,1,0,4,0,0,15,13,18,2,14,4,17,6,3,4,3
23029,1,1,231,2,7.32101300479124,2,1,1,4,0,1,12,13,14,3,8,19,31,3,1,2,1
23056,1,1,233,2,7.31827515400411,2,1,1,4,0,12,11,21,9,2,7,5,7,2,0,0,0
23059,1,1,233,4,7.77275838466804,1,1,1,4,0,7,7,15,15,3,3,8,8,1,0,24,11
23062,1,1,233,1,7.16769336071184,2,1,1,4,0,6,6,9,15,2,3,8,8,1,3,1,0
23064,1,1,233,3,7.14031485284052,2,1,1,4,1,7,6,1,6,0,1,1,3,0,5,4,0
23072,1,1,233,1,7.99726214921287,2,1,1,4,0,6,10,6,11,0,5,8,8,1,0,0,0
23074,1,1,233,1,7.49075975359343,1,0,1,4,0,7,9,14,14,4,3,7,9,4,1,3,0
23081,1,1,234,4,7.19233401779603,2,0,0,3,0,6,14,6,13,6,11,6,36,4,1,19,5
23091,1,1,234,3,7.39767282683094,2,1,0,3,0,7,6,6,13,5,6,3,24,2,2,4,2
23116,1,16,222,4,7.99726214921287,1,1,1,4,0,9,19,15,19,7,8,24,60,8,4,25,14
